,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
0,1,304022,Norfork High School,3.4183384439625044,22.0
1,2,7504011,Dardanelle High School,3.3419225480196424,21.27
2,3,3301002,Calico Rock High School,2.634186561128356,21.96
3,4,3001003,Bismarck High School,2.604985472236674,21.57
4,5,6001001,Central High School,2.397039683248398,21.78
5,6,2403012,County Line High School,2.3950205933551167,21.0
6,7,4204019,Scranton High School,2.2924616257541004,21.41
7,8,5301002,Bigelow High School,2.176789200084105,20.61
8,9,7203020,Fayetteville High School East,2.0616088121911176,22.97
9,10,6205028,Palestine-Wheatley Senior High,1.8854217028947104,19.86
10,11,504023,Omaha High School,1.872172226668475,20.2
11,12,5440703,Kipp:delta Collegiate High Sch,1.8221576093891994,16.31
12,13,2502006,Salem High School,1.8097052723498308,20.82
13,14,2002007,Fordyce High School,1.7939665732827592,18.38
14,15,3302006,Melbourne High School,1.7665150021764262,20.96
15,16,6603048,Hackett High School,1.6592450202096174,20.1
16,17,1612048,Valley View High School,1.5838019723592716,22.0
17,18,6040703,Academics Plus,1.4934176169666777,21.4
18,19,6047703,Estem High Charter,1.492435767441016,18.93
19,20,5801002,Atkins High School,1.4578869822706686,19.77
20,21,6602043,Greenwood High School,1.454640516461577,21.92
21,22,2503010,Viola High School,1.442176399293782,19.9
22,23,6041703,Lisa Academy High,1.3902256243185818,18.32
23,24,5901002,Des Arc High School,1.3780903800233943,20.24
24,25,5008014,Nevada High  School,1.377543298851986,18.32
25,26,7311052,Searcy High School,1.3760291095622854,20.83
26,27,2306030,Mt. Vernon/Enola High School,1.3735574172332008,20.56
27,28,3403013,Newport High School,1.3658825122179614,18.06
28,29,440703,Benton Cty School of Arts High,1.3629538756232478,21.12
29,30,3105011,Nashville High School,1.3583177006353964,19.15
30,31,7102006,Clinton High School,1.2902168330751387,19.86
31,32,2104021,Dumas High School,1.2507301706723055,17.53
32,33,4802010,Clarendon High School,1.1886596258749549,16.38
33,34,601007,Hermitage High School,1.1560856462596156,18.87
34,35,7503006,Danville High School,1.0659729426903723,18.87
35,36,6601025,Southside High School,1.055886075350088,20.71
36,37,1203011,Quitman High School,1.0421542588217463,20.31
37,38,2703010,Poyen High School,1.0143420536266738,19.5
38,39,1611042,Nettleton High School,1.0135009307195908,18.31
39,40,1408007,Bradley High School,0.9586048730739201,19.0
40,41,3604019,Lamar High School,0.9577993995614023,19.26
41,42,2303017,Greenbrier High School,0.9275579218536159,21.32
42,43,3102002,Dierks High School,0.8261585888922482,19.21
43,44,4708031,Gosnell High School,0.8103893866032301,18.31
44,45,7104015,Shirley High School,0.7819903151013037,18.75
45,46,501002,Alpena High School,0.7693546989407203,19.23
46,47,1202006,Heber Springs High School,0.7580226197377655,20.21
