,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
0,1,304022,Norfork High School,3.425860755268893,22.0
1,2,7504011,Dardanelle High School,3.3634011799427768,21.27
2,3,3301002,Calico Rock High School,2.641379381607603,21.96
3,4,3001003,Bismarck High School,2.6114413429067014,21.57
4,5,6001001,Central High School,2.3836351362301613,21.78
5,6,2403012,County Line High School,2.377118618276974,21.0
6,7,4204019,Scranton High School,2.2824727349110994,21.41
7,8,5301002,Bigelow High School,2.1815564967186525,20.61
8,9,7203020,Fayetteville High School East,2.0508809354953783,22.97
9,10,6205028,Palestine-Wheatley Senior High,1.893578112442146,19.86
10,11,504023,Omaha High School,1.8688414378353073,20.2
11,12,5440703,Kipp:delta Collegiate High Sch,1.8257281120306352,16.31
12,13,2502006,Salem High School,1.802913675221827,20.82
13,14,2002007,Fordyce High School,1.7983777891842756,18.38
14,15,3302006,Melbourne High School,1.7730439636110091,20.96
15,16,6603048,Hackett High School,1.6393020344790905,20.1
16,17,1612048,Valley View High School,1.579638258561772,22.0
17,18,6047703,Estem High Charter,1.4801029841636506,18.93
18,19,6040703,Academics Plus,1.4710158267776237,21.4
19,20,5801002,Atkins High School,1.4588840739010998,19.77
20,21,6602043,Greenwood High School,1.4506783421115017,21.92
21,22,2503010,Viola High School,1.444109500300673,19.9
22,23,6041703,Lisa Academy High,1.3909562283556411,18.32
23,24,5901002,Des Arc High School,1.3861166169459054,20.24
24,25,2306030,Mt. Vernon/Enola High School,1.3793544151428812,20.56
25,26,3105011,Nashville High School,1.3705523897730991,19.15
26,27,7311052,Searcy High School,1.3660452607275921,20.83
27,28,5008014,Nevada High  School,1.3619340539532878,18.32
28,29,3403013,Newport High School,1.359582191444364,18.06
29,30,440703,Benton Cty School of Arts High,1.3572298707089416,21.12
30,31,7102006,Clinton High School,1.2963678625162238,19.86
31,32,2104021,Dumas High School,1.2583405004302612,17.53
32,33,601007,Hermitage High School,1.1831834368043275,18.87
33,34,4802010,Clarendon High School,1.1687228228424935,16.38
34,35,7503006,Danville High School,1.0892800335988113,18.87
35,36,1203011,Quitman High School,1.047128329016921,20.31
36,37,2703010,Poyen High School,1.019665460632261,19.5
37,38,1611042,Nettleton High School,1.0117017670155128,18.31
38,39,6601025,Southside High School,1.0108212816963693,20.71
39,40,1408007,Bradley High School,0.9662985677494689,19.0
40,41,3604019,Lamar High School,0.955420515638572,19.26
41,42,2303017,Greenbrier High School,0.9302473758397234,21.32
42,43,3102002,Dierks High School,0.8338035291389616,19.21
43,44,4708031,Gosnell High School,0.8072253520434991,18.31
44,45,501002,Alpena High School,0.7802551730274558,19.23
45,46,7104015,Shirley High School,0.7794643498017813,18.75
46,47,1202006,Heber Springs High School,0.768542181107513,20.21
47,48,6001005,Parkview Magnet High School,0.7550397853998518,18.19
48,49,5803010,Hector High School,0.754532791480905,18.97
49,50,4502006,Yellville-Summit High School,0.6727780161794819,19.22
50,51,3004023,Malvern High School,0.6710973252084393,18.34
51,52,2501002,Mammoth Spring High School,0.6511801000269699,19.08
52,53,5205029,Harmony Grove High School,0.6239732998258418,19.36
53,54,405703,Rogers New Technology High School,0.6172927416869278,19.15
54,55,1402009,Magnolia High School,0.5928722364082191,17.98
55,56,401003,Bentonville High School,0.5658245280564955,22.94
56,57,5802006,Dover High School,0.5656440261178659,19.88
57,58,6701003,Dequeen High School,0.5618926640872246,18.4
58,59,7510019,Two Rivers High School,0.5079910720912615,17.88
59,60,1601002,Bay High School,0.46724076803950965,19.0
60,61,4401003,Huntsville High School,0.4596067883843702,19.73
61,62,4901003,Caddo Hills High School,0.45627447550645783,18.52
62,63,5303011,Perryville High School,0.4261692863027342,18.58
63,64,6901007,Mountain View High School,0.41664908752287744,19.32
64,65,2203012,Monticello High School,0.4073959864751231,18.9
65,66,903018,Lakeside High School,0.38645775622251577,15.86
66,67,6003128,Sylvan Hills High School,0.3815363295420511,19.27
67,68,2402007,Charleston High School,0.37822507113006054,19.36
68,69,5804014,Pottsville High School,0.3768902445950175,19.92
69,70,7509033,Western Yell Co. High School,0.34894416698737274,17.86
70,71,1204015,West Side High School,0.34120639839576583,18.98
71,72,404022,Gravette High School,0.3378460236418981,19.92
72,73,2604030,Jessieville High School,0.33382490790648944,19.0
73,74,2307034,Vilonia High School,0.33277634064062056,20.36
74,75,3601005,Clarksville High School,0.3277247178210665,18.72
75,76,4202008,J.D. Leftwich High School,0.3126757555066959,18.19
76,77,402009,Decatur High School,0.3007284406548507,17.52
77,78,2808043,Paragould High School,0.29313234945491473,19.33
78,79,6502006,Marshall High School,0.2866060845376417,19.2
79,80,3104006,Mineral Springs High School,0.2791387139472672,15.38
80,81,1305010,Rison High School,0.24864835314069822,18.14
81,82,2105028,McGehee High School,0.247665376595414,17.15
82,83,901003,Dermott High School,0.2350408891805209,14.39
83,84,5805024,Russellville High School,0.23410745707269243,19.94
84,85,802007,Eureka Springs High School,0.23124332258428026,19.44
85,86,801002,Berryville High School,0.2193315866243779,18.41
86,87,1702009,Cedarville High School,0.21788706859442897,18.35
87,88,302007,Cotter High School,0.20017143780794555,19.05
88,89,4203012,Paris High School,0.19615391451851494,18.8
89,90,5504015,Murfreesboro High School,0.17682495424006817,18.28
90,91,1201002,Concord High School,0.16234834597492664,18.46
91,92,1002010,Arkadelphia High School,0.152831458509457,18.36
92,93,502007,Bergman High School,0.13306175174874468,19.23
93,94,1408019,Taylor High School,0.1167999845593819,20.25
94,95,5703012,Mena High School,0.11263472566974286,19.28
95,96,2606044,Lakeside High School,0.10161973965855964,20.09
