2023 Rank,LEA,School Name,RESIDUAL,2023 ACT,Rank Chg,ACT Chg,,,,,,,,
,,,,Avg Comp,from 2022,Avg Comp,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP,,2122_RANK,2122_ACT
1,7504011,Dardanelle High School,3.709,21.89,1,0.62,1,304022,Norfork High School,3.425860755,22,,2,21.27
2,504023,Omaha High School,3.6724,22.05,9,1.85,2,7504011,Dardanelle High School,3.36340118,21.27,,11,20.2
3,3102002,Dierks High School,3.4216,21.94,40,2.73,3,3301002,Calico Rock High School,2.641379382,21.96,,43,19.21
4,506032,Lead Hill High School,2.881,21,152,3.5,4,3001003,Bismarck High School,2.611441343,21.57,,156,17.5
5,502007,Bergman High School,2.6708,21.66,88,2.43,5,6001001,Central High School,2.383635136,21.78,,93,19.23
6,3302006,Melbourne High School,2.4856,21.55,9,0.59,6,2403012,County Line High School,2.377118618,21,,15,20.96
7,1408007,Bradley High School,2.3511,19.75,33,0.75,7,4204019,Scranton High School,2.282472735,21.41,,40,19
8,1408002,Emerson High School,2.2857,20.33,NR,0.97,8,5301002,Bigelow High School,2.181556497,20.61,,NR,19.36
9,5440703,Kipp:delta Collegiate High Sch,2.0358,16.53,3,0.22,9,7203020,Fayetteville High School East,2.050880935,22.97,,12,16.31
10,7503006,Danville High School,1.8447,19,25,0.13,10,6205028,Palestine-Wheatley Senior High,1.893578112,19.86,,35,18.87
11,1202006,Heber Springs High School,1.7618,21.07,36,0.86,11,504023,Omaha High School,1.868841438,20.2,,47,20.21
12,3405025,Tuckerman High School,1.724,20.31,108,1.31,12,5440703,Kipp:delta Collegiate High Sch,1.825728112,16.31,,120,19
13,1204015,West Side High School,1.7197,20,58,1.02,13,2502006,Salem High School,1.802913675,20.82,,71,18.98
14,4204019,Scranton High School,1.6708,20.46,-7,-0.95,14,2002007,Fordyce High School,1.798377789,18.38,,7,21.41
15,2402007,Charleston High School,1.5713,20.67,53,1.31,15,3302006,Melbourne High School,1.773043964,20.96,,68,19.36
16,7401003,Augusta High School,1.5473,17.79,NR,2.29,16,6603048,Hackett High School,1.639302034,20.1,,NR,15.5
17,6001005,Parkview Magnet High School,1.5303,18.43,31,0.24,17,1612048,Valley View High School,1.579638259,22,,48,18.19
18,501002,Alpena High School,1.5193,19.57,27,0.34,18,6047703,Estem High Charter,1.480102984,18.93,,45,19.23
19,401003,Bentonville High School,1.5178,22.9,37,-0.04,19,6040703,Academics Plus,1.471015827,21.4,,56,22.94
20,4708031,Gosnell High School,1.4817,19.19,24,0.88,20,5801002,Atkins High School,1.458884074,19.77,,44,18.31
21,5803010,Hector High School,1.48,19.41,28,0.44,21,6602043,Greenwood High School,1.450678342,21.92,,49,18.97
22,6047703,Estem High Charter,1.4613,19.11,-4,0.18,22,2503010,Viola High School,1.4441095,19.9,,18,18.93
23,6041703,Lisa Academy High,1.4274,18.83,0,0.51,23,6041703,Lisa Academy High,1.390956228,18.32,,23,18.32
24,7311052,Searcy High School,1.4189,21.38,3,0.55,24,5901002,Des Arc High School,1.386116617,20.24,,27,20.83
25,801002,Berryville High School,1.384,19.25,58,0.84,25,2306030,Mt. Vernon/Enola High School,1.379354415,20.56,,83,18.41
26,1503017,Nemo Vista High School,1.379,19.77,NR,3.19,26,3105011,Nashville High School,1.37055239,19.15,,NR,16.58
27,2502006,Salem High School,1.3185,20.1,-14,-0.72,27,7311052,Searcy High School,1.366045261,20.83,,13,20.82
28,7204028,Greenland High School,1.2814,19.48,127,1.88,28,5008014,Nevada High  School,1.361934054,18.32,,155,17.6
29,802007,Eureka Springs High School,1.273,19.86,56,0.42,29,3403013,Newport High School,1.359582191,18.06,,85,19.44
30,1612048,Valley View High School,1.2588,21.25,-13,-0.75,30,440703,Benton Cty School of Arts High,1.357229871,21.12,,17,22
31,5901002,Des Arc High School,1.1336,19.66,-7,-0.58,31,7102006,Clinton High School,1.296367863,19.86,,24,20.24
32,7102006,Clinton High School,1.129,19.6,-1,-0.26,32,2104021,Dumas High School,1.2583405,17.53,,31,19.86
33,7203020,Fayetteville High School East,1.0881,23.45,-24,0.48,33,601007,Hermitage High School,1.183183437,18.87,,9,22.97
34,7403013,McCrory High School,1.0848,19.42,64,0.65,34,4802010,Clarendon High School,1.168722823,16.38,,98,18.77
35,2403012,County Line High School,1.0512,19.52,-29,-1.48,35,7503006,Danville High School,1.089280034,18.87,,6,21
36,6602043,Greenwood High School,1.0364,21.39,-15,-0.53,36,1203011,Quitman High School,1.047128329,20.31,,21,21.92
37,4301029,Lonoke High School,1.013,18.98,100,1.24,37,2703010,Poyen High School,1.019665461,19.5,,137,17.74
38,7301003,Bald Knob High School,1.012,19.83,97,1.18,38,1611042,Nettleton High School,1.011701767,18.31,,135,18.65
39,4202008,J.D. Leftwich High School,0.939,18.93,NR,0.74,39,6601025,Southside High School,1.010821282,20.71,,NR,18.19
40,4501002,Flippin High School,0.9387,18.9,74,-0.01,40,1408007,Bradley High School,0.966298568,19,,114,18.91
41,901003,Dermott High School,0.9379,15.18,42,0.79,41,3604019,Lamar High School,0.955420516,19.26,,83,14.39
42,6701003,Dequeen High School,0.9348,18.56,16,0.16,42,2303017,Greenbrier High School,0.930247376,21.32,,58,18.4
43,1905017,Wynne High School,0.9269,18.74,119,0.94,43,3102002,Dierks High School,0.833803529,19.21,,162,17.8
44,7510019,Two Rivers High School,0.9214,18.15,15,0.27,44,4708031,Gosnell High School,0.807225352,18.31,,59,17.88
45,3301002,Calico Rock High School,0.9114,19.3,-42,-2.66,45,501002,Alpena High School,0.780255173,19.23,,3,21.96
46,4802010,Clarendon High School,0.8865,16.66,-12,0.28,46,7104015,Shirley High School,0.77946435,18.75,,34,16.38
