2223_RANK,LEA,SCHOOL,2223_RESID,2223_ACT_COMP,2122_RANK,2122_ACT_COMP,RANK_CHG,ACT_CHG
46,101004,Dewitt High School,0.9012,19.19,150,18.34,104,0.85
153,104025,Stuttgart High School,-0.4704,17.91,163,17.26,10,0.65
150,201006,Crossett High School,-0.449,17.66,142,17.92,-8,-0.26
168,203018,Hamburg High School,-0.5804,17.75,208,17.2,40,0.55
124,302007,Cotter High School,-0.2442,18.23,88,19.05,-36,-0.82
167,303703,Mtn Home High Career Academics,-0.5689,19.85,131,19.98,-36,-0.13
126,304022,Norfork High School,-0.2785,18.5,1,22,-125,-3.5
25,401003,Bentonville High School,1.4175,22.9,56,22.94,31,-0.04
219,402009,Decatur High School,-1.6298,15.89,77,17.52,-142,-1.63
98,404022,Gravette High School,0.1144,19.92,72,19.92,-26,0
159,405048,Rogers High School,-0.5272,19.4,154,19.47,-5,-0.07
209,405052,Rogers Heritage High School,-1.4062,17.75,214,18.13,5,-0.38
60,405703,Rogers New Technology High School,0.6184,19.41,54,19.15,-6,0.26
204,407027,Pea Ridge High School,-1.1397,18.5,220,18.32,16,0.18
63,440703,Benton Cty School of Arts High,0.5857,19.74,30,21.12,-33,-1.38
19,501002,Alpena High School,1.5333,19.57,45,19.23,26,0.34
5,502007,Bergman High School,2.5285,21.66,93,19.23,88,2.43
3,504023,Omaha High School,3.4595,22.05,11,20.2,8,1.85
62,505027,Valley Springs High School,0.5885,20.09,110,19.79,48,0.3
4,506032,Lead Hill High School,2.751,21,156,17.5,152,3.5
210,601007,Hermitage High School,-1.4477,15.87,33,18.87,-177,-3
161,701002,Hampton High School,-0.5323,17.03,167,17.32,6,-0.29
26,801002,Berryville High School,1.4075,19.25,86,18.41,60,0.84
30,802007,Eureka Springs High School,1.2078,19.86,85,19.44,55,0.42
195,803012,Green Forest High School,-0.9686,17.19,222,15.97,27,1.22
52,901003,Dermott High School,0.7683,15.18,83,14.39,31,0.79
143,903018,Lakeside High School,-0.3746,15.38,66,15.86,-77,-0.48
69,1002010,Arkadelphia High School,0.5163,18.5,92,18.36,23,0.14
99,1003018,Gurdon High School,0.1131,17.65,128,17.08,29,0.57
127,1101004,Corning High School,-0.2819,18.1,216,17.19,89,0.91
226,1104018,Piggott High School,-2.5529,16.4,227,17.49,1,-1.09
44,1106023,Rector High School,0.9412,19.37,219,17.54,175,1.83
106,1201002,Concord High School,-0.0178,18.58,91,18.46,-15,0.12
16,1202006,Heber Springs High School,1.6265,21.07,47,20.21,31,0.86
165,1203011,Quitman High School,-0.5614,18.36,36,20.31,-129,-1.95
13,1204015,West Side High School,1.753,20,71,18.98,58,1.02
80,1304015,Woodlawn High School,0.3973,19.41,225,17.26,145,2.15
76,1305010,Rison High School,0.4483,18.55,81,18.14,5,0.41
111,1402009,Magnolia High School,-0.0772,17.37,55,17.98,-56,-0.61
8,1408002,Emerson High School,1.9836,20.33,0,19.36,-8,0.97
7,1408007,Bradley High School,2.0959,19.75,40,19,33,0.75
121,1408019,Taylor High School,-0.2293,19.68,94,20.25,-27,-0.57
29,1503017,Nemo Vista High School,1.2223,19.77,217,16.58,188,3.19
